layer,check,ok,value,detail
spine,O*NET-SOC prefix equals SOC within 0% of expected,True,0.0,"actual 1 against expected 1, gap 0.00%"
spine,O*NET-SOC to SOC: source codes,True,1016.0,1016 distinct onetsoc_code codes
spine,O*NET-SOC to SOC: one-to-many,True,0.0,0 onetsoc_code codes map to several soc_code
spine,"unique key ['onetsoc_code', 'soc_code']",True,0.0,"0 duplicate rows on ['onetsoc_code', 'soc_code']"
spine,O*NET-SOC prefix equals SOC within 0% of expected,True,0.0,"actual 1 against expected 1, gap 0.00%"
spine,O*NET-SOC to SOC: source codes,True,1016.0,1016 distinct onetsoc_code codes
spine,O*NET-SOC to SOC: one-to-many,True,0.0,0 onetsoc_code codes map to several soc_code
spine,"unique key ['onetsoc_code', 'soc_code']",True,0.0,"0 duplicate rows on ['onetsoc_code', 'soc_code']"
spine,Census to SOC: unmapped Census codes,True,2.0,"2 Census codes without a detailed SOC match: ['9830', '9920']"
spine,Census codes mapped to SOC coverage at least 97%,True,0.9894736842105263,98.9% of Census codes mapped to SOC covered
spine,Census to SOC: source codes,True,564.0,564 distinct census_code codes
spine,Census to SOC: one-to-many,True,134.0,134 census_code codes map to several soc_code
spine,"unique key ['census_code', 'soc_code']",True,0.0,"0 duplicate rows on ['census_code', 'soc_code']"
spine,CIP to SOC: source codes,True,2143.0,2143 distinct cip_code codes
spine,CIP to SOC: one-to-many,True,1517.0,1517 cip_code codes map to several soc_code
spine,"unique key ['cip_code', 'soc_code']",True,0.0,"0 duplicate rows on ['cip_code', 'soc_code']"
spine,SOC 2010 to 2018: source codes,True,463.0,463 distinct soc_2010 codes
spine,SOC 2010 to 2018: one-to-many,True,44.0,44 soc_2010 codes map to several soc_2018
spine,"unique key ['soc_2010', 'soc_2018']",True,0.0,"0 duplicate rows on ['soc_2010', 'soc_2018']"
wagebill,nonnegative employment national_M2019_dl.xlsx,True,0.0,0 negative values in employment national_M2019_dl.xlsx
wagebill,nonnegative wage national_M2019_dl.xlsx,True,0.0,0 negative values in wage national_M2019_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment national_M2021_dl.xlsx,True,0.0,0 negative values in employment national_M2021_dl.xlsx
wagebill,nonnegative wage national_M2021_dl.xlsx,True,0.0,0 negative values in wage national_M2021_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment national_M2022_dl.xlsx,True,0.0,0 negative values in employment national_M2022_dl.xlsx
wagebill,nonnegative wage national_M2022_dl.xlsx,True,0.0,0 negative values in wage national_M2022_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment national_M2023_dl.xlsx,True,0.0,0 negative values in employment national_M2023_dl.xlsx
wagebill,nonnegative wage national_M2023_dl.xlsx,True,0.0,0 negative values in wage national_M2023_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment national_M2024_dl.xlsx,True,0.0,0 negative values in employment national_M2024_dl.xlsx
wagebill,nonnegative wage national_M2024_dl.xlsx,True,0.0,0 negative values in wage national_M2024_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment oesm25nat.zip,True,0.0,0 negative values in employment oesm25nat.zip
wagebill,nonnegative wage oesm25nat.zip,True,0.0,0 negative values in wage oesm25nat.zip
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2012_dl.xlsx,True,0.0,0 negative values in employment state_M2012_dl.xlsx
wagebill,nonnegative wage state_M2012_dl.xlsx,True,0.0,0 negative values in wage state_M2012_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2013_dl.xlsx,True,0.0,0 negative values in employment state_M2013_dl.xlsx
wagebill,nonnegative wage state_M2013_dl.xlsx,True,0.0,0 negative values in wage state_M2013_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2014_dl.xlsx,True,0.0,0 negative values in employment state_M2014_dl.xlsx
wagebill,nonnegative wage state_M2014_dl.xlsx,True,0.0,0 negative values in wage state_M2014_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2015_dl.xlsx,True,0.0,0 negative values in employment state_M2015_dl.xlsx
wagebill,nonnegative wage state_M2015_dl.xlsx,True,0.0,0 negative values in wage state_M2015_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2016_dl.xlsx,True,0.0,0 negative values in employment state_M2016_dl.xlsx
wagebill,nonnegative wage state_M2016_dl.xlsx,True,0.0,0 negative values in wage state_M2016_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2017_dl.xlsx,True,0.0,0 negative values in employment state_M2017_dl.xlsx
wagebill,nonnegative wage state_M2017_dl.xlsx,True,0.0,0 negative values in wage state_M2017_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2018_dl.xlsx,True,0.0,0 negative values in employment state_M2018_dl.xlsx
wagebill,nonnegative wage state_M2018_dl.xlsx,True,0.0,0 negative values in wage state_M2018_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2019_dl.xlsx,True,0.0,0 negative values in employment state_M2019_dl.xlsx
wagebill,nonnegative wage state_M2019_dl.xlsx,True,0.0,0 negative values in wage state_M2019_dl.xlsx
wagebill,"unique key ['vintage', 'state_fips', 'soc_code']",True,0.0,"0 duplicate rows on ['vintage', 'state_fips', 'soc_code']"
wagebill,nonnegative employment state_M2020_dl.xlsx,True,0.0,0 negative values in employment state_M2020_dl.xlsx
