year,state,award_level,awards_unexposed,awards_exposed,share_exposed
2023,AK,2,1155.0,120.0,0.09411764705882353
2023,AK,3,405.0,214.0,0.345718901453958
2023,AK,4,0.0,0.0,
2023,AK,5,956.0,483.0,0.33564975677553854
2023,AK,6,103.0,38.0,0.2695035460992908
2023,AK,7,335.0,147.0,0.3049792531120332
2023,AK,8,18.0,0.0,0.0
2023,AK,17,20.0,12.0,0.375
2023,AK,18,4.0,0.0,0.0
2023,AK,20,4.0,0.0,0.0
2023,AK,21,348.0,122.0,0.25957446808510637
2023,AL,2,4448.0,403.0,0.08307565450422594
2023,AL,3,5592.0,1123.0,0.16723752792256144
2023,AL,4,12.0,0.0,0.0
2023,AL,5,19800.0,10899.0,0.3550278510700674
2023,AL,6,584.0,298.0,0.3378684807256236
2023,AL,7,9448.0,6039.0,0.3899399496351779
2023,AL,8,604.0,30.0,0.0473186119873817
2023,AL,17,579.0,307.0,0.34650112866817157
2023,AL,18,2075.0,0.0,0.0
2023,AL,19,10.0,0.0,0.0
2023,AL,20,35.0,0.0,0.0
2023,AL,21,6773.0,1484.0,0.1797262928424367
2023,AR,2,3476.0,516.0,0.12925851703406813
2023,AR,3,3566.0,942.0,0.20896184560780834
2023,AR,4,56.0,3.0,0.05084745762711865
2023,AR,5,10380.0,4686.0,0.311031461569096
2023,AR,6,707.0,176.0,0.19932049830124576
2023,AR,7,3879.0,2083.0,0.34937940288493796
2023,AR,8,558.0,2.0,0.0035714285714285713
2023,AR,17,166.0,149.0,0.473015873015873
2023,AR,18,954.0,0.0,0.0
2023,AR,20,2575.0,148.0,0.05435181784796181
2023,AR,21,4570.0,1843.0,0.28738499922033367
2023,AS,2,13.0,1.0,0.07142857142857142
2023,AS,3,67.0,46.0,0.40707964601769914
2023,AS,5,3.0,0.0,0.0
2023,AZ,2,12428.0,2531.0,0.169195801858413
2023,AZ,3,11141.0,6630.0,0.37307973664959765
2023,AZ,4,33.0,2.0,0.05714285714285714
2023,AZ,5,36829.0,26744.0,0.4206817359570887
2023,AZ,6,784.0,707.0,0.47417840375586856
2023,AZ,7,19842.0,15010.0,0.4306782967978882
