state_abbr,series,cycle,ref_start,ref_end,share_using_ai,se,suppressed,state_fips
AL,ai_in_any_function,202524,2025-11-03,2025-11-16,14.5,1.8,False,01
AL,ai_in_production,202322,2023-10-09,2023-10-22,4.0,1.15,False,01
AL,ai_in_production,202324,2023-11-06,2023-11-19,3.9,0.83,False,01
AL,ai_in_production,202325,2023-11-20,2023-12-03,3.2,0.83,False,01
AL,ai_in_production,202401,2023-12-18,2023-12-31,3.3,1.48,False,01
AL,ai_in_production,202402,2024-01-01,2024-01-14,4.1,0.98,False,01
AL,ai_in_production,202403,2024-01-15,2024-01-28,3.9,1.22,False,01
AL,ai_in_production,202404,2024-01-29,2024-02-11,4.3,0.9,False,01
AL,ai_in_production,202405,2024-02-12,2024-02-25,3.3,0.96,False,01
AL,ai_in_production,202408,2024-03-25,2024-04-07,3.1,0.73,False,01
AL,ai_in_production,202409,2024-04-08,2024-04-21,3.5,1.41,False,01
AL,ai_in_production,202410,2024-04-22,2024-05-05,3.0,1.12,False,01
AL,ai_in_production,202414,2024-06-17,2024-06-30,3.7,1.0,False,01
AL,ai_in_production,202415,2024-07-01,2024-07-14,3.5,0.96,False,01
AL,ai_in_production,202416,2024-07-15,2024-07-28,3.8,1.0,False,01
AL,ai_in_production,202417,2024-07-29,2024-08-11,3.1,0.87,False,01
AL,ai_in_production,202419,2024-08-26,2024-09-08,5.8,1.57,False,01
AL,ai_in_production,202420,2024-09-09,2024-09-22,3.7,1.45,False,01
AL,ai_in_production,202421,2024-09-23,2024-10-06,2.6,0.92,False,01
AL,ai_in_production,202422,2024-10-07,2024-10-20,3.9,1.07,False,01
AL,ai_in_production,202424,2024-11-04,2024-11-17,3.3,1.07,False,01
AL,ai_in_production,202425,2024-11-18,2024-12-01,6.4,1.37,False,01
AL,ai_in_production,202426,2024-12-02,2024-12-15,6.5,1.4,False,01
AL,ai_in_production,202501,2024-12-16,2024-12-29,3.5,0.77,False,01
AL,ai_in_production,202502,2024-12-30,2025-01-12,4.1,1.41,False,01
AL,ai_in_production,202503,2025-01-13,2025-01-26,5.2,1.38,False,01
AL,ai_in_production,202504,2025-01-27,2025-02-09,3.7,0.77,False,01
AL,ai_in_production,202505,2025-02-10,2025-02-23,6.0,1.65,False,01
AL,ai_in_production,202506,2025-02-24,2025-03-09,5.5,1.87,False,01
AL,ai_in_production,202507,2025-03-10,2025-03-23,5.4,0.96,False,01
AL,ai_in_production,202509,2025-04-07,2025-04-20,7.5,1.38,False,01
AL,ai_in_production,202510,2025-04-21,2025-05-04,5.7,1.4,False,01
AL,ai_in_production,202511,2025-05-05,2025-05-18,10.2,1.54,False,01
AL,ai_in_production,202512,2025-05-19,2025-06-01,5.9,1.55,False,01
AL,ai_in_production,202514,2025-06-16,2025-06-29,7.1,2.23,False,01
AL,ai_in_production,202515,2025-06-30,2025-07-13,6.3,1.71,False,01
AL,ai_in_production,202516,2025-07-14,2025-07-27,6.6,1.41,False,01
AL,ai_in_production,202517,2025-07-28,2025-08-10,10.1,1.89,False,01
AL,ai_in_production,202518,2025-08-11,2025-08-24,6.3,1.51,False,01
AL,ai_in_production,202519,2025-08-25,2025-09-07,5.9,1.72,False,01
AL,ai_in_production,202520,2025-09-08,2025-09-21,7.1,1.32,False,01
AR,ai_in_any_function,202524,2025-11-03,2025-11-16,14.4,2.44,False,05
AR,ai_in_production,202321,2023-09-25,2023-10-08,4.6,1.81,False,05
AR,ai_in_production,202324,2023-11-06,2023-11-19,5.3,1.58,False,05
AR,ai_in_production,202407,2024-03-11,2024-03-24,4.0,1.56,False,05
AR,ai_in_production,202409,2024-04-08,2024-04-21,4.8,1.21,False,05
AR,ai_in_production,202413,2024-06-03,2024-06-16,5.8,2.13,False,05
AR,ai_in_production,202419,2024-08-26,2024-09-08,5.8,1.51,False,05
AR,ai_in_production,202421,2024-09-23,2024-10-06,5.0,1.49,False,05
AR,ai_in_production,202501,2024-12-16,2024-12-29,5.8,1.42,False,05
AR,ai_in_production,202506,2025-02-24,2025-03-09,5.3,2.58,False,05
AR,ai_in_production,202507,2025-03-10,2025-03-23,9.8,2.22,False,05
AR,ai_in_production,202511,2025-05-05,2025-05-18,7.1,2.16,False,05
AR,ai_in_production,202513,2025-06-02,2025-06-15,9.1,2.71,False,05
AR,ai_in_production,202514,2025-06-16,2025-06-29,9.3,2.14,False,05
AR,ai_in_production,202515,2025-06-30,2025-07-13,7.5,1.94,False,05
AR,ai_in_production,202516,2025-07-14,2025-07-27,5.8,2.14,False,05
AR,ai_in_production,202517,2025-07-28,2025-08-10,6.4,1.31,False,05
AR,ai_in_production,202518,2025-08-11,2025-08-24,8.6,1.57,False,05
AR,ai_in_production,202519,2025-08-25,2025-09-07,8.0,1.94,False,05
AR,ai_in_production,202520,2025-09-08,2025-09-21,5.8,1.84,False,05
AZ,ai_in_any_function,202524,2025-11-03,2025-11-16,24.5,1.7,False,04
AZ,ai_in_production,202319,2023-08-28,2023-09-10,5.1,0.81,False,04
AZ,ai_in_production,202320,2023-09-11,2023-09-24,4.4,0.84,False,04
AZ,ai_in_production,202321,2023-09-25,2023-10-08,6.8,0.99,False,04
AZ,ai_in_production,202322,2023-10-09,2023-10-22,5.6,0.86,False,04
AZ,ai_in_production,202323,2023-10-23,2023-11-05,5.5,1.08,False,04
AZ,ai_in_production,202324,2023-11-06,2023-11-19,6.4,1.24,False,04
AZ,ai_in_production,202325,2023-11-20,2023-12-03,6.4,1.02,False,04
AZ,ai_in_production,202326,2023-12-04,2023-12-17,5.8,1.12,False,04
AZ,ai_in_production,202401,2023-12-18,2023-12-31,5.3,1.17,False,04
