soc_code,bill,reached,delegated,platform,release,reach_share,delegated_share
11-1011,55098890500.0,13457260634.201477,1167376857.3604534,anthropic,2025-09-15 (2025-08-04),0.24423832335065762,0.021186939460431663
11-1021,472697518800.0,68960925240.89034,15677127053.995241,anthropic,2025-09-15 (2025-08-04),0.14588806265781976,0.033165240836874985
11-2011,3312391600.0,924081059.3826805,198069449.8153176,anthropic,2025-09-15 (2025-08-04),0.27897699637406415,0.05979650770015164
11-2021,70261814800.0,39207725827.74071,14771730149.420671,anthropic,2025-09-15 (2025-08-04),0.5580232440529092,0.21023838042709753
11-2022,104704098000.0,21703835951.3234,7660177394.584729,anthropic,2025-09-15 (2025-08-04),0.20728735900407066,0.07316024435437789
11-2033,5434176200.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-3012,34280485200.000004,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-3013,18255880200.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-3021,128856731200.00002,36833506709.54497,15316054712.624725,anthropic,2025-09-15 (2025-08-04),0.285848526239388,0.11886111474341608
11-3031,157324016100.0,30932651084.66043,11247960369.815594,anthropic,2025-09-15 (2025-08-04),0.1966174767938716,0.07149550747971017
11-3051,33039362500.0,449320177.56178415,55320209.03521262,anthropic,2025-09-15 (2025-08-04),0.013599541382246227,0.001674372773845519
11-3061,13184275200.0,5051157485.336689,3050996211.823324,anthropic,2025-09-15 (2025-08-04),0.3831198460827554,0.2314117511612109
11-3071,26895488000.0,39366915.788255595,0.0,anthropic,2025-09-15 (2025-08-04),0.001463699628289161,0.0
11-3111,3730961600.0,709379997.8091735,0.0,anthropic,2025-09-15 (2025-08-04),0.19013328837508633,0.0
11-3121,36238991800.0,5643483088.558209,0.0,anthropic,2025-09-15 (2025-08-04),0.1557295831987856,0.0
11-3131,7129178500.000001,4981433762.610296,1702643639.529199,anthropic,2025-09-15 (2025-08-04),0.6987388185904302,0.2388274665207497
11-9013,648830000.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-9021,47301569600.0,16111705001.823847,3063766735.450565,anthropic,2025-09-15 (2025-08-04),0.340616709721697,0.0647709317335331
11-9031,4773168000.0,221046538.19195333,78342088.56994815,anthropic,2025-09-15 (2025-08-04),0.0463102363444893,0.016413017218322955
11-9032,38119113000.0,11189412391.008993,3364543741.0969005,anthropic,2025-09-15 (2025-08-04),0.2935381101603543,0.08826395674781048
11-9033,22836673800.0,3494789773.4390326,1500429170.9253883,anthropic,2025-09-15 (2025-08-04),0.15303409787457894,0.06570261431528564
11-9041,39986000400.0,3521714348.985047,623327776.1931872,anthropic,2025-09-15 (2025-08-04),0.08807368363316094,0.015588650276539967
11-9051,17853638400.0,1151260247.0022154,0.0,anthropic,2025-09-15 (2025-08-04),0.06448322863995136,0.0
11-9071,518341500.00000006,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-9072,3408705000.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
11-9081,3355898800.0,602273916.1877239,164949731.95799288,anthropic,2025-09-15 (2025-08-04),0.17946724620769966,0.04915217704359645
11-9111,84170367600.0,27760474332.049446,9935718510.510643,anthropic,2025-09-15 (2025-08-04),0.3298129154428149,0.11804295019510694
11-9121,19591372500.0,2282151735.606243,390958823.5897408,anthropic,2025-09-15 (2025-08-04),0.11648758838137772,0.019955662809726108
11-9131,1344541600.0,161968877.0789084,0.0,anthropic,2025-09-15 (2025-08-04),0.12046401322124091,0.0
11-9141,26048877800.0,12467881179.779362,3815493288.8589787,anthropic,2025-09-15 (2025-08-04),0.4786340999219307,0.1464743824342014
11-9151,18605250400.0,3378350409.012372,861442139.7836316,anthropic,2025-09-15 (2025-08-04),0.18158048595854276,0.04630102370369772
11-9161,1382670000.0,14912058.459649693,0.0,anthropic,2025-09-15 (2025-08-04),0.010784972885540074,0.0
11-9171,1291404400.0,256032413.130634,13835634.484374266,anthropic,2025-09-15 (2025-08-04),0.19825889793362483,0.010713634307250515
11-9179,817085500.0,88467918.62045318,37153763.787774645,anthropic,2025-09-15 (2025-08-04),0.10827253527379103,0.045471084467628715
11-9199,95748819100.0,8852794185.617458,1257637818.0956492,anthropic,2025-09-15 (2025-08-04),0.09245852083430509,0.0131347606155035
13-1011,1786739600.0,385131844.48412615,145779163.78326795,anthropic,2025-09-15 (2025-08-04),0.21555006923455783,0.08158948499449385
13-1031,26090788100.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
13-1032,912084000.0000001,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
13-1041,36868988000.0,2839630696.326176,984358897.5132674,anthropic,2025-09-15 (2025-08-04),0.07701949118663566,0.02669883148171215
13-1051,19146145800.0,3063781709.6283383,816981864.6137302,anthropic,2025-09-15 (2025-08-04),0.16002080740596566,0.04267082644976673
13-1071,74810135700.0,42072981105.66719,15312737624.829243,anthropic,2025-09-15 (2025-08-04),0.5623968024117244,0.20468800760147857
13-1074,18125700.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
13-1075,6398043200.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
13-1081,22525819200.0,6772114160.497841,1348680263.0926378,anthropic,2025-09-15 (2025-08-04),0.3006378636164247,0.0598726399745159
13-1111,102215281200.0,43518886193.49544,16308948706.62615,anthropic,2025-09-15 (2025-08-04),0.42575714396699654,0.15955489742003615
13-1121,9503047200.0,4213858232.41423,532772216.788783,anthropic,2025-09-15 (2025-08-04),0.44342179342371674,0.056063303230650376
13-1131,8572288000.0,2729791786.922289,48925232.675810345,anthropic,2025-09-15 (2025-08-04),0.31844377917800815,0.00570737155305682
13-1141,9477005400.0,930988260.4706739,28691592.851332407,anthropic,2025-09-15 (2025-08-04),0.09823654426435949,0.0030274956740377512
13-1151,34624565000.0,9967898994.435537,2556650576.262797,anthropic,2025-09-15 (2025-08-04),0.28788517615847414,0.07383921144605851
13-1161,80503414200.0,57710848187.85475,22422896309.189102,anthropic,2025-09-15 (2025-08-04),0.7168745420471216,0.2785334824866236
13-1199,102153847300.0,28826137351.265747,6369528788.138693,anthropic,2025-09-15 (2025-08-04),0.28218357030265023,0.062352314244543315
13-2011,137340125000.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
13-2031,4544809200.0,962441740.4269757,180098565.04768044,anthropic,2025-09-15 (2025-08-04),0.21176724876084474,0.039627310437516376
13-2041,6493731500.0,1424707232.2981136,0.0,anthropic,2025-09-15 (2025-08-04),0.21939731143767086,0.0
13-2052,41799556000.0,26182913164.144524,11594946899.787598,anthropic,2025-09-15 (2025-08-04),0.6263921359390642,0.2773940206395398
13-2053,9877854000.0,809062416.137012,304864098.83423644,anthropic,2025-09-15 (2025-08-04),0.08190669918152384,0.030863393894487248
13-2061,7206259200.0,580036047.5080905,57444611.93215139,anthropic,2025-09-15 (2025-08-04),0.08049058900186251,0.007971488443289883
13-2071,1588721700.0,880495490.4903394,228420828.23921227,anthropic,2025-09-15 (2025-08-04),0.5542163177417035,0.14377648913539248
13-2072,24083430700.0,6700752006.741586,1524050907.552137,anthropic,2025-09-15 (2025-08-04),0.27823079237384507,0.06328213478124348
13-2081,3992137199.9999995,200285979.50933924,33825753.509309806,anthropic,2025-09-15 (2025-08-04),0.05017011427095724,0.008473093938081539
13-2082,4659926400.0,1478235701.8319917,156636396.08392262,anthropic,2025-09-15 (2025-08-04),0.31722297198341837,0.03361349142422563
13-2099,12395115300.0,5393633828.26156,1715636231.4850698,anthropic,2025-09-15 (2025-08-04),0.4351418843406451,0.13841228499787087
15-1211,59543333300.0,35178026136.00034,12194373325.080517,anthropic,2025-09-15 (2025-08-04),0.5907970579806344,0.20479829813425168
15-1212,25263031500.0,14172042158.676163,1917120474.3877506,anthropic,2025-09-15 (2025-08-04),0.5609794754313695,0.07588639844698569
15-1221,5726196000.0,3359766524.6126475,574955315.4153136,anthropic,2025-09-15 (2025-08-04),0.5867362075298589,0.10040790001168552
15-1231,11968575300.0,5274630716.606819,1440949600.6950288,anthropic,2025-09-15 (2025-08-04),0.4407066492372588,0.12039441325109337
15-1232,48288402700.0,30107160717.286312,11949102991.736795,anthropic,2025-09-15 (2025-08-04),0.6234863659568991,0.24745285251973753
15-1241,25088109200.000004,12124314829.855604,4193136181.494621,anthropic,2025-09-15 (2025-08-04),0.4832693740768476,0.16713639709024466
15-1242,7705199100.0,4860867353.710739,2048645820.0972538,anthropic,2025-09-15 (2025-08-04),0.630855515947763,0.2658783755629694
15-1243,9697701600.0,6960875398.329848,2364020830.7011485,anthropic,2025-09-15 (2025-08-04),0.717786098752497,0.24377124892161545
15-1244,32590771200.0,15909363616.55354,5173878642.14343,anthropic,2025-09-15 (2025-08-04),0.4881554817749615,0.15875287548100211
15-1251,9699829100.0,6837226810.157513,3375853861.446838,anthropic,2025-09-15 (2025-08-04),0.704881162303933,0.3480323031100453
15-1252,249976509000.0,0.0,0.0,anthropic,2025-09-15 (2025-08-04),0.0,0.0
15-1253,20819642600.0,6945019760.040151,2999196178.0391717,anthropic,2025-09-15 (2025-08-04),0.33358016242027855,0.14405608375040846
15-1254,6932666300.0,4816691871.018535,1762639666.0707998,anthropic,2025-09-15 (2025-08-04),0.6947820164109925,0.2542513356038498
15-1255,13315141700.0,3666220868.0940638,939878407.8055483,anthropic,2025-09-15 (2025-08-04),0.27534223447986766,0.07058718780330729
15-1299,53215275100.0,12926249329.132488,4350560340.495363,anthropic,2025-09-15 (2025-08-04),0.242904867161581,0.08175397632202343
15-2011,3773271600.0,1174886499.5197315,182655812.9432123,anthropic,2025-09-15 (2025-08-04),0.3113707742426311,0.04840780953674586
15-2021,262397800.0,130789776.25734483,49875718.11248201,anthropic,2025-09-15 (2025-08-04),0.4984408263230287,0.19007673887693421
