platform,release,bundle_id,bundle,usage_share_on_bundle,wage_bill_share_on_bundle,concentration,reach_usd_on_bundle,reach_share_of_bundle_bill
anthropic,2025-09-15 (2025-08-04),1.A.1,Cognitive Abilities,0.2233737294285971,0.18533835338524143,1.2052212904055315,383571956338.6411,0.20871716206703814
anthropic,2025-09-15 (2025-08-04),1.A.2,Psychomotor Abilities,0.01525063983849738,0.036075229739033765,0.42274546687074965,33086269521.649914,0.0924943727134175
anthropic,2025-09-15 (2025-08-04),1.A.3,Physical Abilities,0.011545642372842843,0.03339455611856244,0.3457342667425117,23996258091.601585,0.072467697511706
anthropic,2025-09-15 (2025-08-04),1.A.4,Sensory Abilities,0.037452057644380546,0.041981601521423315,0.8921064534726878,74483124213.91022,0.17892684188004443
anthropic,2025-09-15 (2025-08-04),2.A.1,Content,0.07938331871308625,0.0784580888627539,1.0117926636213488,152543193343.0224,0.19607928848361306
anthropic,2025-09-15 (2025-08-04),2.A.2,Process,0.04298523385871446,0.033593715890568275,1.2795617489514737,66914079658.953415,0.20087971232297666
anthropic,2025-09-15 (2025-08-04),2.B.1,Social Skills,0.015597432226919656,0.02350941836566561,0.6634546199449565,49526617920.16711,0.21245815266480708
anthropic,2025-09-15 (2025-08-04),2.B.2,Complex Problem Solving Skills,0.010443767199168693,0.0036620040938396357,2.8519266859197674,10371838573.437212,0.2856363909371598
anthropic,2025-09-15 (2025-08-04),2.B.3,Technical Skills,0.06346154691658143,0.06297097473737243,1.007790449191155,89053519918.62029,0.1426222514064838
anthropic,2025-09-15 (2025-08-04),2.B.4,Systems Skills,0.014805342142216517,0.006975006404167913,2.1226277488963436,23091747775.99939,0.33387877253340015
anthropic,2025-09-15 (2025-08-04),2.B.5,Resource Management Skills,0.002672161675311804,0.00788471478073551,0.3389040377009727,9073512779.185923,0.11605559460924693
anthropic,2025-09-15 (2025-08-04),2.C.1,Business and Management,0.038509203370227826,0.04088972531240295,0.9417819042806568,78223540311.6398,0.1929300551221644
anthropic,2025-09-15 (2025-08-04),2.C.10,Transportation,0.0039859284091120556,0.004863480852904913,0.8195628870896647,7973280852.545046,0.16533563409129462
anthropic,2025-09-15 (2025-08-04),2.C.2,Manufacturing and Production,0.008065685438424319,0.008916299431466632,0.904600109094542,15033677121.379246,0.17004238496499538
anthropic,2025-09-15 (2025-08-04),2.C.3,Engineering and Technology,0.028623259831520968,0.0259803340509516,1.1017279368073623,46033667009.68913,0.17869296487615247
anthropic,2025-09-15 (2025-08-04),2.C.4,Mathematics and Science,0.03523116677588922,0.03427051135770753,1.0280315460762928,61532377535.91052,0.18107551332774144
anthropic,2025-09-15 (2025-08-04),2.C.5,Health Services,0.007805284232751668,0.008689915658773785,0.8982002287756443,15558489621.700735,0.18056288568584858
anthropic,2025-09-15 (2025-08-04),2.C.6,Education and Training,0.007404127307187485,0.007076529492509395,1.0462935701779885,12858668838.53449,0.18325351109612653
anthropic,2025-09-15 (2025-08-04),2.C.7,Arts and Humanities,0.02475554589298945,0.023094883710640942,1.071906063834535,42891095459.5983,0.18729577141130743
anthropic,2025-09-15 (2025-08-04),2.C.8,Law and Public Safety,0.010661378306995083,0.012404120066777557,0.8595029917156214,22002843644.281174,0.17889140085570227
anthropic,2025-09-15 (2025-08-04),2.C.9,Communications,0.0119790788981045,0.010911340631389068,1.0978558275088424,21313955345.960983,0.1969983331190589
anthropic,2025-09-15 (2025-08-04),4.A.1,Information Input,0.008177693956434622,0.010949780138637987,0.7468363613602038,18961094063.426445,0.17463633455337993
anthropic,2025-09-15 (2025-08-04),4.A.2,Mental Processes,0.030898382681303824,0.01884688509575884,1.6394424078203227,47897455244.47898,0.25630051049621105
anthropic,2025-09-15 (2025-08-04),4.A.3,Work Output,0.1074478155007852,0.10442666279209352,1.0289308556638124,164801580775.49295,0.15915730899135297
anthropic,2025-09-15 (2025-08-04),4.A.4,Interacting With Others,0.15948457738195707,0.17483586750862107,0.9121959907574054,328232649538.39465,0.18933367267698872
anthropic,2026-01-15 (2025-11-13),1.A.1,Cognitive Abilities,0.22390544203906812,0.18533835338524143,1.2080901656316205,462061583785.6263,0.25142657296560417
anthropic,2026-01-15 (2025-11-13),1.A.2,Psychomotor Abilities,0.01530757278995641,0.036075229739033765,0.42432363981298393,40118362221.93371,0.1121529505035109
anthropic,2026-01-15 (2025-11-13),1.A.3,Physical Abilities,0.011226728372122116,0.03339455611856244,0.33618438682829843,30065245242.194557,0.0907957853057579
anthropic,2026-01-15 (2025-11-13),1.A.4,Sensory Abilities,0.03613048218778518,0.041981601521423315,0.8606265811309678,90019815369.08597,0.21624980746453648
anthropic,2026-01-15 (2025-11-13),2.A.1,Content,0.08093318024673775,0.0784580888627539,1.0315466693091837,185903655712.95886,0.23896088537186058
anthropic,2026-01-15 (2025-11-13),2.A.2,Process,0.04212695696641697,0.033593715890568275,1.2540130155189075,80889964578.55052,0.242836080196775
anthropic,2026-01-15 (2025-11-13),2.B.1,Social Skills,0.019217539869181607,0.02350941836566561,0.8174400391482213,61206896097.34039,0.26256394281048967
anthropic,2026-01-15 (2025-11-13),2.B.2,Complex Problem Solving Skills,0.009524648526243604,0.0036620040938396357,2.6009387980385754,11580533444.376448,0.3189233764831492
anthropic,2026-01-15 (2025-11-13),2.B.3,Technical Skills,0.05880235463722813,0.06297097473737243,0.9338009278476315,105475466367.58417,0.16892255909974793
anthropic,2026-01-15 (2025-11-13),2.B.4,Systems Skills,0.014498561874607374,0.006975006404167913,2.0786449552137705,25766763752.700474,0.37255627150281445
anthropic,2026-01-15 (2025-11-13),2.B.5,Resource Management Skills,0.0032690005951309803,0.00788471478073551,0.41459972694485187,12838385611.592382,0.16421054471803306
anthropic,2026-01-15 (2025-11-13),2.C.1,Business and Management,0.03894823932599047,0.04088972531240295,0.9525189770393597,94737182172.96783,0.2336591990842106
anthropic,2026-01-15 (2025-11-13),2.C.10,Transportation,0.004015598528522106,0.004863480852904913,0.8256634805344458,9667804202.688812,0.2004736278180673
anthropic,2026-01-15 (2025-11-13),2.C.2,Manufacturing and Production,0.007928270353515982,0.008916299431466632,0.8891884368010585,18088259931.397705,0.20459205248113288
anthropic,2026-01-15 (2025-11-13),2.C.3,Engineering and Technology,0.027983248070995954,0.0259803340509516,1.07709346677823,54833808712.667534,0.2128532548201298
anthropic,2026-01-15 (2025-11-13),2.C.4,Mathematics and Science,0.03601058776641307,0.03427051135770753,1.0507747430595078,74146832475.5476,0.2181969280205412
anthropic,2026-01-15 (2025-11-13),2.C.5,Health Services,0.008137213681299249,0.008689915658773785,0.9363973139467124,18882968797.46466,0.2191448796951635
anthropic,2026-01-15 (2025-11-13),2.C.6,Education and Training,0.007547297525986765,0.007076529492509395,1.0665252697633332,15537933615.469194,0.22143667637510905
anthropic,2026-01-15 (2025-11-13),2.C.7,Arts and Humanities,0.025363599546120857,0.023094883710640942,1.0982345641530382,51769730959.85599,0.22606677661137276
anthropic,2026-01-15 (2025-11-13),2.C.8,Law and Public Safety,0.010793206246316616,0.012404120066777557,0.8701307459304981,26366280788.60601,0.21436778726800848
anthropic,2026-01-15 (2025-11-13),2.C.9,Communications,0.012184850411110039,0.010911340631389068,1.1167143271155349,25587279317.249275,0.2364953521170385
anthropic,2026-01-15 (2025-11-13),4.A.1,Information Input,0.005171731372293381,0.010949780138637987,0.4723137183407116,22147586478.112305,0.20398471252784828
anthropic,2026-01-15 (2025-11-13),4.A.2,Mental Processes,0.029305537903569715,0.01884688509575884,1.554927392758627,55947293743.958405,0.29937540260264395
anthropic,2026-01-15 (2025-11-13),4.A.3,Work Output,0.10437508194250439,0.10442666279209352,0.9995060567080284,196513896457.1723,0.18978351295147253
anthropic,2026-01-15 (2025-11-13),4.A.4,Interacting With Others,0.16729306922088324,0.17483586750862107,0.9568578324618323,402240299018.7014,0.23202333228886307
anthropic,2026-03-24 (2026-02-05),1.A.1,Cognitive Abilities,0.2231491331804185,0.18533835338524143,1.2040094729696027,489364625998.4841,0.2662832729727161
anthropic,2026-03-24 (2026-02-05),1.A.2,Psychomotor Abilities,0.015442868055072478,0.036075229739033765,0.4280740044286714,42580757428.54848,0.11903670328982387
anthropic,2026-03-24 (2026-02-05),1.A.3,Physical Abilities,0.01132334422298466,0.03339455611856244,0.3390775485316468,31988038284.085094,0.09660254000915491
anthropic,2026-03-24 (2026-02-05),1.A.4,Sensory Abilities,0.037374012487597016,0.041981601521423315,0.8902474210881395,95773234075.82834,0.2300709387620704
anthropic,2026-03-24 (2026-02-05),2.A.1,Content,0.08278467573434796,0.0784580888627539,1.0551451983384723,196754022844.43045,0.2529079663284049
anthropic,2026-03-24 (2026-02-05),2.A.2,Process,0.04065366797075969,0.033593715890568275,1.2101569264677134,85476757296.89333,0.2566058818056736
anthropic,2026-03-24 (2026-02-05),2.B.1,Social Skills,0.020936313084034677,0.02350941836566561,0.8905500237560606,64337715838.43752,0.27599446172038583
anthropic,2026-03-24 (2026-02-05),2.B.2,Complex Problem Solving Skills,0.009130183358112259,0.0036620040938396357,2.4932204126891624,12743287323.281935,0.3509451650182441
anthropic,2026-03-24 (2026-02-05),2.B.3,Technical Skills,0.05693864033369765,0.06297097473737243,0.9042045255161874,112070572281.99641,0.17948484630228914
anthropic,2026-03-24 (2026-02-05),2.B.4,Systems Skills,0.013999503137450712,0.006975006404167913,2.0070953811720247,27654508513.038048,0.39985077989394424
anthropic,2026-03-24 (2026-02-05),2.B.5,Resource Management Skills,0.0031085469887951085,0.00788471478073551,0.3942497699967701,13221547329.150314,0.16911140969115493
anthropic,2026-03-24 (2026-02-05),2.C.1,Business and Management,0.03970075118296204,0.04088972531240295,0.9709224231672628,100677631285.8027,0.2483106859668505
anthropic,2026-03-24 (2026-02-05),2.C.10,Transportation,0.0040822133000824315,0.004863480852904913,0.8393604135696684,10320381881.715551,0.21400561626185474
anthropic,2026-03-24 (2026-02-05),2.C.2,Manufacturing and Production,0.007995144719310517,0.008916299431466632,0.8966886745744254,19302727967.601513,0.2183286147122169
anthropic,2026-03-24 (2026-02-05),2.C.3,Engineering and Technology,0.02769834136988424,0.0259803340509516,1.0661272220581672,58092391579.960976,0.22550238472170248
anthropic,2026-03-24 (2026-02-05),2.C.4,Mathematics and Science,0.035590713698535344,0.03427051135770753,1.0385229834199978,78188802201.91205,0.23009150730328531
anthropic,2026-03-24 (2026-02-05),2.C.5,Health Services,0.008110364984198658,0.008689915658773785,0.933307675548038,19710385519.458153,0.22874740247343425
anthropic,2026-03-24 (2026-02-05),2.C.6,Education and Training,0.007450623622069302,0.007076529492509395,1.0528640670481046,16291974044.41003,0.23218277753433184
anthropic,2026-03-24 (2026-02-05),2.C.7,Arts and Humanities,0.02518765423753072,0.023094883710640942,1.0906161967780568,54795743551.31198,0.23928069331235666
anthropic,2026-03-24 (2026-02-05),2.C.8,Law and Public Safety,0.010972912785017606,0.012404120066777557,0.8846183950127015,27774970966.712463,0.22582096865707094
anthropic,2026-03-24 (2026-02-05),2.C.9,Communications,0.01223321733658586,0.010911340631389068,1.1211470478150136,27144258093.535446,0.2508860280216989
anthropic,2026-03-24 (2026-02-05),4.A.1,Information Input,0.0055493633771923016,0.010949780138637987,0.5068013518929496,24300983400.937813,0.22381802721859437
anthropic,2026-03-24 (2026-02-05),4.A.2,Mental Processes,0.02855751299616156,0.01884688509575884,1.5152378152179602,60323336553.11045,0.3227917198206286
anthropic,2026-03-24 (2026-02-05),4.A.3,Work Output,0.10249550708443485,0.10442666279209352,0.9815070628896427,207296095198.11603,0.20019643331633438
anthropic,2026-03-24 (2026-02-05),4.A.4,Interacting With Others,0.16953479075276393,0.17483586750862107,0.9696796954114936,425616092375.07336,0.24550713657866924
anthropic,2026-06-26 (2026-04),1.A.1,Cognitive Abilities,0.22766379816178697,0.18533835338524143,1.2283685163025515,422455522875.8085,0.22987529817310268
anthropic,2026-06-26 (2026-04),1.A.2,Psychomotor Abilities,0.012960209759438875,0.036075229739033765,0.3592550859188513,27598154861.328354,0.07715206515729989
anthropic,2026-06-26 (2026-04),1.A.3,Physical Abilities,0.009931789911316958,0.03339455611856244,0.29740745395913043,20989542168.0427,0.0633875409631167
anthropic,2026-06-26 (2026-04),1.A.4,Sensory Abilities,0.03927601101436884,0.041981601521423315,0.9355529467908983,73252776348.28973,0.17597124273818926
anthropic,2026-06-26 (2026-04),2.A.1,Content,0.08509582759494645,0.0784580888627539,1.0846023504829934,166677441302.18835,0.21424747562030244
anthropic,2026-06-26 (2026-04),2.A.2,Process,0.03852274858350426,0.033593715890568275,1.1467248430924504,72360013518.48529,0.21722870243998177
anthropic,2026-06-26 (2026-04),2.B.1,Social Skills,0.024683173026280075,0.02350941836566561,1.0499269970170202,52723885089.68831,0.22617371623321517
