year,origin,outflow,outflow_low_exposure,exit_share_low_exposure
2023,11-1021,16013.0,6561.0,0.40972959470430276
2023,13-2011,7968.0,5372.0,0.6741967871485943
2023,15-1252,10956.0,4209.0,0.3841730558598028
2023,29-1141,12375.0,2043.0,0.1650909090909091
2023,41-2031,9233.0,1465.0,0.1586699880862125
2023,43-3031,9996.0,5070.0,0.507202881152461
2023,43-4051,13290.0,6936.0,0.5218961625282167
2023,53-3032,11559.0,5176.0,0.44778960117657235
2024,11-1021,12255.0,3640.0,0.29702162382700936
2024,13-2011,8920.0,2972.0,0.33318385650224214
2024,15-1252,13998.0,5357.0,0.38269752821831693
2024,29-1141,11166.0,3918.0,0.35088662009672217
2024,41-2031,10502.0,4642.0,0.44201104551514
2024,43-3031,8076.0,3352.0,0.4150569588905399
2024,43-4051,10064.0,4473.0,0.44445548489666137
2024,53-3032,14314.0,5094.0,0.3558753667737879
