state_fips,year,share_using_ai,periods,series,state_abbr
01,2025,14.5,1,ai_in_any_function,AL
04,2025,24.5,1,ai_in_any_function,AZ
05,2025,14.4,1,ai_in_any_function,AR
06,2025,19.4,1,ai_in_any_function,CA
08,2025,25.2,1,ai_in_any_function,CO
09,2025,15.7,1,ai_in_any_function,CT
11,2025,23.2,1,ai_in_any_function,DC
12,2025,16.5,1,ai_in_any_function,FL
13,2025,16.6,1,ai_in_any_function,GA
15,2025,15.4,1,ai_in_any_function,HI
16,2025,12.8,1,ai_in_any_function,ID
17,2025,14.4,1,ai_in_any_function,IL
18,2025,18.9,1,ai_in_any_function,IN
19,2025,14.2,1,ai_in_any_function,IA
20,2025,19.1,1,ai_in_any_function,KS
21,2025,13.5,1,ai_in_any_function,KY
22,2025,13.3,1,ai_in_any_function,LA
23,2025,11.4,1,ai_in_any_function,ME
24,2025,21.2,1,ai_in_any_function,MD
25,2025,17.7,1,ai_in_any_function,MA
26,2025,16.4,1,ai_in_any_function,MI
27,2025,19.1,1,ai_in_any_function,MN
28,2025,11.6,1,ai_in_any_function,MS
29,2025,18.6,1,ai_in_any_function,MO
30,2025,14.6,1,ai_in_any_function,MT
31,2025,20.2,1,ai_in_any_function,NE
32,2025,21.3,1,ai_in_any_function,NV
33,2025,11.8,1,ai_in_any_function,NH
34,2025,12.7,1,ai_in_any_function,NJ
35,2025,9.0,1,ai_in_any_function,NM
36,2025,13.9,1,ai_in_any_function,NY
37,2025,20.6,1,ai_in_any_function,NC
39,2025,15.9,1,ai_in_any_function,OH
40,2025,15.8,1,ai_in_any_function,OK
41,2025,21.1,1,ai_in_any_function,OR
42,2025,15.5,1,ai_in_any_function,PA
45,2025,16.2,1,ai_in_any_function,SC
46,2025,11.5,1,ai_in_any_function,SD
47,2025,20.4,1,ai_in_any_function,TN
48,2025,19.6,1,ai_in_any_function,TX
49,2025,15.3,1,ai_in_any_function,UT
51,2025,19.8,1,ai_in_any_function,VA
53,2025,17.8,1,ai_in_any_function,WA
55,2025,14.2,1,ai_in_any_function,WI
56,2025,19.0,1,ai_in_any_function,WY
72,2025,10.1,1,ai_in_any_function,PR
01,2023,3.6,4,ai_in_production,AL
01,2024,3.9473684210526314,19,ai_in_production,AL
01,2025,6.388235294117647,17,ai_in_production,AL
04,2023,5.699999999999999,9,ai_in_production,AZ
04,2024,6.373076923076923,26,ai_in_production,AZ
04,2025,10.105263157894736,19,ai_in_production,AZ
05,2023,4.949999999999999,2,ai_in_production,AR
05,2024,5.2,6,ai_in_production,AR
05,2025,7.5181818181818185,11,ai_in_production,AR
06,2023,5.411111111111111,9,ai_in_production,CA
06,2024,6.403846153846154,26,ai_in_production,CA
06,2025,9.689473684210526,19,ai_in_production,CA
08,2023,6.233333333333333,9,ai_in_production,CO
08,2024,7.1461538461538465,26,ai_in_production,CO
08,2025,11.526315789473685,19,ai_in_production,CO
09,2023,3.6374999999999997,8,ai_in_production,CT
09,2024,4.6625,24,ai_in_production,CT
09,2025,8.110526315789473,19,ai_in_production,CT
10,2023,9.55,2,ai_in_production,DE
10,2024,9.466666666666667,3,ai_in_production,DE
10,2025,13.463636363636363,11,ai_in_production,DE
11,2023,11.5,1,ai_in_production,DC
11,2024,13.280000000000001,5,ai_in_production,DC
