vintage,soc_code,employment,wage,bill,basis
2012,11-1011,258890.0,176050.25918343698,45577651600.0,sum of states
2012,11-1021,1907750.0,114686.48449744463,218793140800.0,sum of states
2012,11-1031,52230.0,38390.7620141681,2005149500.0,sum of states
2012,11-2011,28480.0,106731.04985955056,3039700300.0,sum of states
2012,11-2021,172230.0,129612.5988503745,22323177900.0,sum of states
2012,11-2022,346950.0,119683.97867127828,41524356400.0,sum of states
2012,11-2030,53760.0,108088.91369047618,5810860000.0,sum of states
2012,11-3021,310820.0,128939.85779550865,40077086600.0,sum of states
2012,11-3031,488650.0,122851.78696408472,60031525700.0,sum of states
2012,11-3051,161630.0,97450.54630947225,15750931800.0,sum of states
2012,11-3061,69820.0,105951.76167287311,7397552000.0,sum of states
2012,11-3071,98820.0,88627.51264926128,8758170800.0,sum of states
2012,11-3111,20000.0,105801.66,2116033200.0,sum of states
2012,11-3121,99050.0,109134.69863705199,10809791900.0,sum of states
2012,11-3131,27390.0,103698.54326396495,2840303100.0,sum of states
2012,11-9013,3100.0,74572.6129032258,231175100.0,sum of states
2012,11-9021,208370.0,90837.80774583673,18927874000.0,sum of states
2012,11-9031,47570.0,50678.74710952281,2410788000.0,sum of states
2012,11-9032,228220.0,90310.132328455,20610578400.0,sum of states
2012,11-9033,124150.0,98895.32501006847,12277854600.0,sum of states
2012,11-9039,29890.0,81954.69387755102,2449625800.0,sum of states
2012,11-9041,184400.0,133422.1068329718,24603036500.0,sum of states
2012,11-9051,187260.0,52254.15785538823,9785113600.0,sum of states
2012,11-9070,4300.0,71109.55813953489,305771100.0,sum of states
2012,11-9081,29850.0,54807.32998324958,1635998800.0,sum of states
2012,11-9111,294670.0,98333.95968371398,28976067900.0,sum of states
2012,11-9121,46520.0,132771.82072227,6176545100.0,sum of states
2012,11-9131,23870.0,62129.09090909091,1483021400.0,sum of states
2012,11-9141,159970.0,63522.93367506407,10161763700.0,sum of states
2012,11-9151,115830.0,64382.900802900804,7457471400.0,sum of states
2012,11-9171,8890.0,80174.20697412823,712748700.0,sum of states
2012,11-9199,345510.0,104754.14720268588,36193605400.0,sum of states
2012,13-1011,11280.0,88644.26418439717,999907300.0,sum of states
2012,13-1021,10150.0,60154.64039408867,610569600.0,sum of states
2012,13-1022,109700.0,57098.526891522335,6263708400.0,sum of states
2012,13-1023,283010.0,62114.29136779619,17578965600.0,sum of states
2012,13-1031,264680.0,61428.77474686414,16258968100.0,sum of states
2012,13-1032,11040.0,60195.561594202896,664559000.0,sum of states
2012,13-1041,231120.0,64675.77232606438,14947864500.0,sum of states
2012,13-1051,195660.0,63026.0860676684,12331684000.0,sum of states
2012,13-1071,397070.0,60489.39657994812,24018524700.0,sum of states
2012,13-1074,800.0,39245.375,31396300.0,sum of states
2012,13-1075,75540.0,56027.798517341806,4232339900.0,sum of states
2012,13-1111,541510.0,88005.80081623608,47656021200.0,sum of states
2012,13-1121,71290.0,49891.52475803058,3556766800.0,sum of states
2012,13-1131,48540.0,55220.33992583436,2680395300.0,sum of states
2012,13-1141,85870.0,62141.96576219867,5336130600.0,sum of states
2012,13-1151,210100.0,59544.15944788196,12510227900.0,sum of states
2012,13-1199,939680.0,70190.27051762302,65956393400.0,sum of states
2012,13-2011,1139250.0,70740.94948430985,80591626700.0,sum of states
2012,13-2020,59050.0,54900.06265876376,3241848700.0,sum of states
2012,13-2031,58890.0,71812.42995415181,4229034000.0,sum of states
2012,13-2041,58030.0,69438.53007065311,4029517900.0,sum of states
2012,13-2051,240920.0,89245.65581935912,21501063400.0,sum of states
2012,13-2052,162720.0,92775.68768436578,15096459900.0,sum of states
2012,13-2053,92390.0,68865.26788613487,6362462100.0,sum of states
2012,13-2061,28150.0,83920.89165186501,2362373100.0,sum of states
2012,13-2071,26510.0,43781.39569973595,1160644800.0,sum of states
2012,13-2072,288370.0,70146.94975205466,20228275900.0,sum of states
2012,13-2081,65980.0,55639.20885116702,3671075000.0,sum of states
2012,13-2082,61090.0,41581.41430676052,2540208600.0,sum of states
2012,13-2099,148380.0,66843.0630812778,9918173700.0,sum of states
2012,15-1211,483150.0,83726.92228086515,40452662500.0,sum of states
