vintage,state_fips,soc_code,employment,wage,bill
2024,01,11-1011,830.0,207190.0,171967700.0
2024,01,11-1021,32370.0,134790.0,4363152300.0
2024,01,11-1031,1120.0,36570.0,40958400.0
2024,01,11-2011,50.0,130180.0,6509000.0
2024,01,11-2021,1660.0,130660.0,216895600.0
2024,01,11-2022,4380.0,136950.0,599841000.0
2024,01,11-2032,410.0,113280.0,46444800.0
2024,01,11-2033,210.0,108350.0,22753500.0
2024,01,11-3012,660.0,107710.0,71088600.0
2024,01,11-3013,950.0,124750.0,118512500.0
2024,01,11-3021,6480.0,142610.0,924112800.0
2024,01,11-3031,6390.0,153650.0,981823500.0
2024,01,11-3051,3610.0,124580.0,449733800.0
2024,01,11-3061,1400.0,129810.0,181734000.0
2024,01,11-3071,1180.0,111980.0,132136400.0
2024,01,11-3111,110.0,119030.0,13093300.0
2024,01,11-3121,1990.0,121520.0,241824800.0
2024,01,11-3131,110.0,122220.0,13444200.0
2024,01,11-9021,7520.0,101320.0,761926400.0
2024,01,11-9031,780.0,45640.0,35599200.0
2024,01,11-9033,3540.0,121850.0,431349000.0
2024,01,11-9041,3480.0,160920.0,560001600.0
2024,01,11-9051,5090.0,63650.0,323978500.0
2024,01,11-9072,50.0,64750.0,3237500.0
2024,01,11-9081,500.0,76650.0,38325000.0
2024,01,11-9111,9320.0,101790.0,948682800.0
2024,01,11-9121,280.0,127650.0,35742000.0
2024,01,11-9131,280.0,94210.0,26378800.0
2024,01,11-9141,3460.0,63870.0,220990200.0
2024,01,11-9151,2150.0,72760.0,156434000.0
2024,01,11-9161,230.0,78230.0,17992900.0
2024,01,11-9171,400.0,72210.0,28884000.0
2024,01,11-9199,2370.0,123710.0,293192700.0
2024,01,13-1020,8720.0,77450.0,675364000.0
2024,01,13-1031,4430.0,76630.0,339470900.0
2024,01,13-1041,3400.0,74930.0,254762000.0
2024,01,13-1051,2460.0,74390.0,182999400.0
2024,01,13-1071,11200.0,69880.0,782656000.0
2024,01,13-1075,510.0,56650.0,28891500.0
2024,01,13-1081,5790.0,95880.0,555145200.0
2024,01,13-1082,2590.0,108600.0,281274000.0
2024,01,13-1111,4980.0,111280.0,554174400.0
2024,01,13-1121,1170.0,54960.0,64303200.0
2024,01,13-1131,1020.0,59880.0,61077600.0
2024,01,13-1141,1060.0,66570.0,70564200.0
2024,01,13-1151,2750.0,71650.0,197037500.0
2024,01,13-1161,8780.0,66840.0,586855200.0
2024,01,13-1199,6990.0,103960.0,726680400.0
2024,01,13-2011,25420.0,80760.0,2052919200.0
2024,01,13-2020,540.0,61630.0,33280200.0
2024,01,13-2031,940.0,99700.0,93718000.0
2024,01,13-2041,310.0,103280.0,32016800.0
2024,01,13-2051,2780.0,107880.0,299906400.0
2024,01,13-2052,2320.0,129240.0,299836800.0
2024,01,13-2053,1050.0,71820.0,75411000.0
2024,01,13-2054,140.0,92240.0,12913600.0
2024,01,13-2061,690.0,83680.0,57739200.0
2024,01,13-2072,5680.0,78300.0,444744000.0
2024,01,13-2081,1180.0,59050.0,69679000.0
2024,01,13-2082,550.0,34250.0,18837500.0
2024,01,13-2099,660.0,81090.0,53519400.0
2024,01,15-1211,6830.0,112430.0,767896900.0
2024,01,15-1212,3290.0,112800.0,371112000.0
2024,01,15-1221,540.0,109020.0,58870800.0
2024,01,15-1231,1020.0,64680.0,65973600.0
2024,01,15-1232,7430.0,51960.0,386062800.0
2024,01,15-1241,3610.0,126770.0,457639700.0
2024,01,15-1242,1990.0,92930.0,184930700.0
2024,01,15-1243,310.0,117510.0,36428100.0
2024,01,15-1244,4980.0,86770.0,432114600.0
2024,01,15-1251,1360.0,90900.0,123624000.0
2024,01,15-1252,18020.0,117380.0,2115187600.0
2024,01,15-1253,1910.0,103760.0,198181600.0
2024,01,15-1254,790.0,69990.0,55292100.0
2024,01,15-1255,130.0,60520.0,7867600.0
2024,01,15-1299,2450.0,102650.0,251492500.0
2024,01,15-2031,500.0,118370.0,59185000.0
2024,01,15-2041,200.0,76870.0,15374000.0
2024,01,15-2051,1620.0,102970.0,166811400.0
2024,01,17-1011,1270.0,104560.0,132791200.0
2024,01,17-1012,230.0,87500.0,20125000.0
2024,01,17-1021,30.0,76180.0,2285400.0
2024,01,17-1022,830.0,70510.0,58523300.0
2024,01,17-2011,5570.0,136210.0,758689700.0
2024,01,17-2041,540.0,116130.0,62710200.0
2024,01,17-2051,5920.0,104270.0,617278400.0
2024,01,17-2061,800.0,133770.0,107016000.0
2024,01,17-2071,4470.0,122950.0,549586500.0
2024,01,17-2072,1780.0,117680.0,209470400.0
2024,01,17-2081,660.0,103760.0,68481600.0
2024,01,17-2111,550.0,112470.0,61858500.0
2024,01,17-2112,8040.0,102170.0,821446800.0
2024,01,17-2131,660.0,112300.0,74118000.0
2024,01,17-2141,5480.0,106090.0,581373200.0
2024,01,17-2151,80.0,100700.0,8056000.0
2024,01,17-2161,270.0,136480.0,36849600.0
2024,01,17-2199,3370.0,143060.0,482112200.0
2024,01,17-3011,1350.0,56390.0,76126500.0
2024,01,17-3012,290.0,60540.0,17556600.0
2024,01,17-3013,590.0,59220.0,34939800.0
2024,01,17-3021,210.0,73940.0,15527400.0
2024,01,17-3022,1570.0,54030.0,84827100.0
2024,01,17-3023,1950.0,79950.0,155902500.0
2024,01,17-3024,70.0,68020.0,4761400.0
2024,01,17-3026,830.0,64140.0,53236200.0
2024,01,17-3027,350.0,66190.0,23166500.0
2024,01,17-3028,50.0,50580.0,2529000.0
2024,01,17-3029,540.0,81540.0,44031600.0
2024,01,17-3031,1210.0,51690.0,62544900.0
2024,01,19-1012,50.0,93030.0,4651500.0
2024,01,19-1013,90.0,78900.0,7101000.0
2024,01,19-1021,100.0,71960.0,7196000.0
2024,01,19-1022,90.0,65500.0,5895000.0
2024,01,19-1023,310.0,66520.0,20621200.0
